Ref_Date,GEO,STAT,TENURE,SUMMARY,Vector,Coordinate,Value
2012,Canada,Average expenditure per household,All classes,Electricity and fuel (e.g. natural gas and wood) for owned vacation homes and other secondary residences,v105964472,1.1.1.319,..
2013,Canada,Average expenditure per household,All classes,Electricity and fuel (e.g. natural gas and wood) for owned vacation homes and other secondary residences,v105964472,1.1.1.319,..
2014,Canada,Average expenditure per household,All classes,Electricity and fuel (e.g. natural gas and wood) for owned vacation homes and other secondary residences,v105964472,1.1.1.319,65
2010,Canada,Average expenditure per household,All classes,"Electricity, water and fuel for owned vacation homes and other secondary residences",v64476234,1.1.1.77,68
2011,Canada,Average expenditure per household,All classes,"Electricity, water and fuel for owned vacation homes and other secondary residences",v64476234,1.1.1.77,51
2012,Canada,Average expenditure per household,All classes,"Electricity, water and fuel for owned vacation homes and other secondary residences",v64476234,1.1.1.77,62
2013,Canada,Average expenditure per household,All classes,"Electricity, water and fuel for owned vacation homes and other secondary residences",v64476234,1.1.1.77,72
2010,Canada,Average expenditure per household,All classes,"Communication and home security services, satellite radio and Internet for owned vacation homes and other secondary residences",v105964473,1.1.1.320,..
2011,Canada,Average expenditure per household,All classes,"Communication and home security services, satellite radio and Internet for owned vacation homes and other secondary residences",v105964473,1.1.1.320,..
2012,Canada,Average expenditure per household,All classes,"Communication and home security services, satellite radio and Internet for owned vacation homes and other secondary residences",v105964473,1.1.1.320,..
2013,Canada,Average expenditure per household,All classes,"Communication and home security services, satellite radio and Internet for owned vacation homes and other secondary residences",v105964473,1.1.1.320,..
2014,Canada,Average expenditure per household,All classes,"Communication and home security services, satellite radio and Internet for owned vacation homes and other secondary residences",v105964473,1.1.1.320,27
2010,Canada,Average expenditure per household,All classes,Other expenses for owned vacation homes and other secondary residences,v64476235,1.1.1.78,183
2011,Canada,Average expenditure per household,All classes,Other expenses for owned vacation homes and other secondary residences,v64476235,1.1.1.78,135
2012,Canada,Average expenditure per household,All classes,Other expenses for owned vacation homes and other secondary residences,v64476235,1.1.1.78,204
2013,Canada,Average expenditure per household,All classes,Other expenses for owned vacation homes and other secondary residences,v64476235,1.1.1.78,184
2014,Canada,Average expenditure per household,All classes,Other expenses for owned vacation homes and other secondary residences,v64476235,1.1.1.78,180
2010,Canada,Average expenditure per household,All classes,Other owned properties,v64476236,1.1.1.79,284
2011,Canada,Average expenditure per household,All classes,Other owned properties,v64476236,1.1.1.79,194
2012,Canada,Average expenditure per household,All classes,Other owned properties,v64476236,1.1.1.79,167
2013,Canada,Average expenditure per household,All classes,Other owned properties,v64476236,1.1.1.79,201
2014,Canada,Average expenditure per household,All classes,Other owned properties,v64476236,1.1.1.79,347
2010,Canada,Average expenditure per household,All classes,Accommodation away from home,v64476237,1.1.1.80,432
2011,Canada,Average expenditure per household,All classes,Accommodation away from home,v64476237,1.1.1.80,440
2012,Canada,Average expenditure per household,All classes,Accommodation away from home,v64476237,1.1.1.80,560
2013,Canada,Average expenditure per household,All classes,Accommodation away from home,v64476237,1.1.1.80,591
2014,Canada,Average expenditure per household,All classes,Accommodation away from home,v64476237,1.1.1.80,658
